key_development_areas,text,business_area_id,scenario,related_skill,question_id,key_dev_areas_str
"['Data Management', 'Organisational Skills', 'Compliance Awareness']","Assess your competency in regularly updating these records, ensuring they are accurate, easily accessible, and secure.",GmrHNRRC2s4lKGXPtLRB,"You are responsible for maintaining up-to-date and accurate client records, which are crucial for the sales teams operations.",record_and_document_production,MvLAJuo9x2rJZiYZ33F8,Data Management Organisational Skills Compliance Awareness
"['Communication', 'Technical Skills']",Rate your skill in using IT tools to design a professional and engaging presentation that effectively communicates the intended information.,GmrHNRRC2s4lKGXPtLRB,"You need to create a detailed digital presentation for a departmental meeting, incorporating various elements like charts, graphs, and multimedia.",it,Myj9aPWNOj58P5NIAZeZ,Communication Technical Skills
"['Project Coordination', 'Teamwork and Collaboration', 'Organisational Skills']","Assess your ability to use project management tools to ensure successful delivery, handling resources efficiently, and leading the project effectively.",GmrHNRRC2s4lKGXPtLRB,"You're leading a cross-departmental project that requires careful planning, resource allocation, and progress monitoring.",project_management,O3jggihwnrpmFvnPpb4E,Project Coordination Teamwork and Collaboration Organisational Skills
"['Communication', 'Problem-Solving', 'Teamwork and Collaboration']","Rate your ability to solicit, receive, and effectively use feedback, demonstrating openness and adaptability to improve your work processes.",GmrHNRRC2s4lKGXPtLRB,You are seeking constructive feedback from your colleagues on a project you recently led to identify areas for improvement.,interpersonal_skills,OWpgXZIMgVjbd0L3ZwmB,Communication Problem-Solving Teamwork and Collaboration
"['Organisational Skills', 'Communication', 'Project Coordination']","How do you rate your ability to manage all aspects of the meeting coordination, from scheduling to resource allocation, ensuring the event runs smoothly?",GmrHNRRC2s4lKGXPtLRB,"You are responsible for organising a large, all-hands meeting, involving multiple departments and key stakeholders.",planning_and_organisation,Oj46bSzLpdBGzOFSxb33,Organisational Skills Communication Project Coordination
"['Data Management', 'Problem-Solving']","How would you rate your ability to identify the sources of these errors, implement measures to improve accuracy, and ensure the quality of future reports?",GmrHNRRC2s4lKGXPtLRB,You've noticed recurring errors in a regular departmental report that could impact decision-making.,quality,PtfiX8Fr178weWNEhH3v,Data Management Problem-Solving
"['Organisational Skills', 'Communication', 'Project Coordination']","Rate your proficiency in organising this event, managing all aspects effectively, and ensuring a successful outcome.",GmrHNRRC2s4lKGXPtLRB,"You are planning a major company event, coordinating various elements including logistics, resources, and time management.",planning_and_organisation,RXt15sJaRHVX6dQEfpjW,Organisational Skills Communication Project Coordination
"['Organisational Skills', 'Problem-Solving']","How would you rate your ability to quickly assess and prioritise these tasks, ensuring that critical deadlines are met and resources are used efficiently?",GmrHNRRC2s4lKGXPtLRB,"On a particularly busy day, you are faced with a multitude of tasks, each with varying levels of urgency and importance.",decision_making,RzRX8Fd2y3tIkypd4TFU,Organisational Skills Problem-Solving
"['Problem-Solving', 'Technical Skills']","Assess your capability in troubleshooting these issues, identifying the root cause, and providing or suggesting effective solutions.",GmrHNRRC2s4lKGXPtLRB,"A team member is experiencing recurrent technical issues with their computer, hindering their workflow.",it,SDdl7NHf76VvU9Idb42D,Problem-Solving Technical Skills
"['Organisational Skills', 'Communication', 'Compliance Awareness']","Rate your ability to develop, write, and implement clear and effective standard operating procedures (SOPs) for these routine tasks.",GmrHNRRC2s4lKGXPtLRB,"Your department lacks standardised procedures for routine tasks, leading to inefficiencies and errors.",record_and_document_production,ToIW9ncPQtGXSi0xyKfs,Organisational Skills Communication Compliance Awareness
"['Organisational Skills', 'Problem-Solving']","Rate your ability to plan and implement a new, more efficient filing system, ensuring it is user-friendly and enhances productivity.",GmrHNRRC2s4lKGXPtLRB,"To improve efficiency, you decide to overhaul the current filing system, which has become outdated and cumbersome.",planning_and_organisation,WtWUHfjNOA0kpSyYyCSt,Organisational Skills Problem-Solving
"['Organisational Skills', 'Problem-Solving']","Assess your competency in effectively prioritising these tasks, managing your time to meet all deadlines without compromising the quality of work.",GmrHNRRC2s4lKGXPtLRB,"You are juggling several high-priority tasks, each with a different deadline.",planning_and_organisation,aRgu6AYiRPdbp3n6p4EE,Organisational Skills Problem-Solving
"['Teamwork and Collaboration', 'Problem-Solving', 'Communication']","Rate your competency in building relationships, influencing the resolution, and setting an example of positive interaction within the team.",GmrHNRRC2s4lKGXPtLRB,You're tasked with mediating a misunderstanding between team members to maintain a positive team environment.,interpersonal_skills,agM8WxtEWGW3hJOQ8yxz,Teamwork and Collaboration Problem-Solving Communication
"['Data Management', 'Confidentiality and Discretion', 'Organisational Skills']","Assess your ability to produce and manage these documents while maintaining accuracy, confidentiality, and suggesting process improvements.",GmrHNRRC2s4lKGXPtLRB,"You are responsible for maintaining accurate and up-to-date records for a critical project, including handling confidential information.",record_and_document_production,cYgae91dIrh9D8VyQ4gL,Data Management Confidentiality and Discretion Organisational Skills
"['Technical Skills', 'Problem-Solving', 'Communication']","How do you rate your proficiency in learning this new software quickly, training your team on its use, and integrating it into your current processes?",GmrHNRRC2s4lKGXPtLRB,"Your organisation is adopting a new software tool to improve certain administrative processes, and you are tasked with its implementation within your department.",it,dtXgJKYhvyx5C7WkUg5w,Technical Skills Problem-Solving Communication
"['Problem-Solving', 'Organisational Skills']","How do you rate your ability to make effective decisions under pressure, considering all relevant information and potential impacts?",GmrHNRRC2s4lKGXPtLRB,"Faced with a sudden challenge in a project, you must make a quick, yet well-reasoned decision to keep the project on track.",decision_making,i0x69oeEztZTaEnNh8fE,Problem-Solving Organisational Skills
"['Organisational Skills', 'Problem-Solving', 'Teamwork and Collaboration']",Rate your ability to make a strategic decision based on the meetings' priorities and delegate responsibility for the other meeting effectively.,GmrHNRRC2s4lKGXPtLRB,"Two important meetings are scheduled at the same time, and you need to decide which one to attend personally and how to manage the other.",decision_making,iOOEns5x20S13IEk3WEP,Organisational Skills Problem-Solving Teamwork and Collaboration
"['Data Management', 'Communication', 'Organisational Skills']","How do you rate your ability to collate, organise, and present data in a clear, concise report while ensuring accuracy and attention to detail?",GmrHNRRC2s4lKGXPtLRB,You are tasked with creating a comprehensive monthly report that consolidates various types of data from different departments.,record_and_document_production,iy81u6665TVEZYxc38z4,Data Management Communication Organisational Skills
"['Data Management', 'Technical Skills', 'Communication']",Rate your proficiency in using IT packages like MS Office for data analysis and creating a professional presentation of your findings.,GmrHNRRC2s4lKGXPtLRB,"You need to analyse a large set of business data and present your findings in a clear, concise manner.",it,knWU6IpJAOsW7aYIgNsB,Data Management Technical Skills Communication
"['Project Coordination', 'Communication', 'Teamwork and Collaboration']","How do you rate your ability to plan, execute, and manage this project, ensuring that the new communication processes are effectively implemented and adopted by the team?",GmrHNRRC2s4lKGXPtLRB,You are tasked with leading a new initiative within your department to streamline internal communication processes.,project_management,lKyfRTrXDt2lucY8Y22u,Project Coordination Communication Teamwork and Collaboration
"['Organisational Skills', 'Problem-Solving', 'Compliance Awareness']","Assess your skill in reviewing and proposing improvements to these processes, aiming to enhance efficiency while maintaining or improving quality standards.",GmrHNRRC2s4lKGXPtLRB,You observe that certain administrative processes in your department are outdated and could be made more efficient,quality,nKl8I14xpZY2XyzeGKhU,Organisational Skills Problem-Solving Compliance Awareness
